ID,conflict_name,ccode,cname,region,secession,battledeadbest,lnbdb,battledeadlow,lnbdl,battledeadhigh,lnbdh,pop,lnpop,dper100k,begin,end,duration,lnduration,rate,lnrate,cw,intervention,democ,lngdp,gdpsq,milper,milperpop,lnmilperpop,milex,milqual,lnmilqual,milq2,mountain,lnmountain,ethfrac,lnethfrac,relfrac,lnrelfrac,relpolar,ethnicpolar
1990,"India (Mizoram)",750,"IND",3,1,900,6.802395,900,6.802395,900,6.802395,487336992,20.00447,.1846771,1966,1968,3,1.098612,300,5.703783,1,0,1,6.621406,12.09947,1220,2.50e-06,-12.89786,1804170,1478.828,7.299005,14.7176,12.9,2.631889,.8864782,-.1204988,.3384,-1.083527,1,1
1500,"Argentina 1955",160,"ARG",2,0,900,6.802395,900,6.802395,900,6.802395,18574000,16.73727,4.845483,1955,1955,1,0,900,6.802395,1,0,0,8.287025,15.87261,71,3.82e-06,-12.47459,566133,7973.704,8.983905,17.00413,28.4,3.380995,.3073192,-1.179868,.1512,-1.889152,0,1
2770,"Romania 1989",360,"RUM",5,0,909,6.812345,909,6.812345,909,6.812345,23054000,16.95335,3.942917,1989,1989,1,0,909,6.812345,0,0,0,7.644441,13.63566,220,9.54e-06,-11.55972,809000,3677.273,8.209927,12.88665,17,2.890372,.2521631,-1.377679,.4704,-.7541719,1,1
2970,"Croatia 1992-5",344,"CRO",5,1,950,6.856462,950,6.856462,950,6.856462,4782300,15.38043,19.86492,1992,1995,4,1.386294,237.5,5.470168,0,0,0,,,103,.0000215,-10.7457,561000,5446.602,8.602747,15.56463,3.609251,1.528065,.334221,-1.095953,.3828,-.9602427,1,1
3000,"Georgia (South Ossetia)",372,"GRG",3,1,950,6.856462,950,6.856462,950,6.856462,5460000,15.51296,17.39927,1992,1992,1,0,950,6.856462,0,1,0,8.250193,15.76717,25,4.58e-06,-12.29408,850000,34000,10.43412,20.68034,60.8,4.123903,.49551,-.7021676,.5454,-.6062357,1,1
1911,"Chad 1997-2002",483,"CHA",1,0,954,6.860664,954,6.860664,954,6.860664,6937350,15.75243,13.75165,1997,2002,6,1.791759,159,5.068904,0,0,0,5.841918,13.4442,40,5.77e-06,-12.06355,40000,1000,6.907755,15.25,8.5,2.251292,.8262728,-.1908302,.625,-.4700036,1,1
2721,"Indonesia (Aceh 1999-2001)",850,"INS",4,1,980,6.887553,980,6.887553,980,6.887553,203678368,19.13205,.4811507,1999,2002,4,1.386294,245,5.501258,0,0,0,7.755626,14.11178,280,1.37e-06,-13.49726,967000,3453.572,8.147164,12.00675,10.5,2.442347,.7640584,-.2691111,.2216,-1.506881,0,1
1180,"China (Taiwan 1947)",710,"SHN",4,1,1000,6.907755,540,6.291569,1000,6.907755,553268992,20.13136,.1807439,1947,1947,1,0,1000,6.907755,1,0,0,5.420535,13.71082,4158,7.52e-06,-11.79857,789300,189.8268,5.246112,15.91642,37.4,3.648057,.1184524,-2.133244,.551,-.5960205,1,0
1010,"Bolivia (Popular Revolutionary Movement)",145,"BOL",2,0,1000,6.907755,1000,6.907755,1000,6.907755,2858000,14.86563,34.9895,1946,1946,1,0,1000,6.907755,1,0,0,,,9,3.15e-06,-12.66841,7052,783.5555,6.663842,15.45086,35.9,3.608212,.678133,-.3884119,.095,-2.353878,0,1
1460,"Indonesia (Darul Islam)",850,"INS",4,0,1000,6.907755,521,6.25575,1000,6.907755,78081000,18.17326,1.280721,1953,1953,1,0,1000,6.907755,1,0,0,5.966147,13.33137,200,2.56e-06,-12.87494,333946,1669.73,7.420417,14.4583,10.5,2.442347,.7640584,-.2691111,.2216,-1.506881,0,1
2111,"Guinea 2000-1",438,"GUI",1,0,1100,7.003066,418,6.035481,1500,7.313221,7250500,15.79658,15.17137,2000,2001,2,.6931472,550,6.309918,0,0,0,,,12,1.66e-06,-13.31167,60000,5000,8.517193,15.15242,3.2,1.435085,.7496075,-.2882055,.2262,-1.486336,0,1
2260,"Bangladesh (Shanti Bahini)",771,"BNG",3,1,1227,7.112328,1227,7.112328,1227,7.112328,72425000,18.09806,1.694166,1974,1992,19,2.944439,64.57895,4.167889,1,0,1,6.628041,12.07574,86,1.19e-06,-13.64371,41204,479.1163,6.171943,15.70306,0,0,.0049751,-5.303314,.2134,-1.544587,1,1
